ID_female_focals;Body_mass_mg_focal;Mass_reproducibility_mg_focal
1;2.11;
10;1.89;
13;2.76;
28;1.98;
37;1.86;
49;2.21;
55;2.36;
61;2.06;
67;1.87;
82;2.1;
85;2.66;
100;1.99;
109;1.82;
115;1.92;
127;1.76;
136;1.79;
148;1.76;
154;2.06;
166;2.41;2.39
169;2.52;
175;2.52;
202;2.3;
211;2.21;
214;1.99;2.01
223;2.64;2.6
226;2.09;
245;1.98;
254;2.35;
269;2.36;
272;1.99;
281;1.91;
296;1.87;
303;1.74;
311;1.98;
323;2.01;2.05
325;2.24;
235;2.09;
338;1.45;
341;1.77;
347;1.75;
365;2.22;
368;2.29;
374;2.35;
380;2.49;2.46
416;1.94;
419;2.48;2.48
425;2;2.04
434;2.42;2.42
437;2.35;
458;2.36;2.4
461;2.53;
482;2.7;
485;2.63;
491;2.32;2.32
503;2.36;
509;2.2;2.23
515;2.37;
521;2.09;
527;2.42;2.41
542;2.17;2.14
554;2.49;2.48
569;2.15;2.1
584;2.26;2.25
588;2.16;
593;2.39;2.35
599;2;
611;2.27;2.28
620;2.64;
629;2.02;1.98
647;2.12;2.18
653;1.66;
668;1.98;2
674;2.35;2.3
681;2.04;2
687;2.13;2.12
705;2.06;2.05
708;2.35;2.31
729;2.15;2.2
732;2.13;2.11
753;2.37;2.38
768;2.54;
774;2.63;
777;2.03;
783;2.58;
792;2.35;
801;1.82;
822;2.51;2.48
834;2.17;
840;2.26;
849;2.07;
873;2;2.02
876;1.78;
894;2.03;
909;2.62;2.61
924;2.3;2.35
933;2.1;1.99
939;2.67;2.67
948;2.55;
951;2.67;
960;2.15;
995;2.3;2.33
999;2.1;
1008;1.84;
1011;2.18;
1029;2.14;
1038;2.38;
1044;2.46;
1061;2.48;
1068;2.47;
1077;2.04;2.06
1080;2.33;
1083;2.33;
1086;2.15;
1107;2.27;2.29
1119;2.14;
1128;2.23;
1148;1.87;
1152;2.5;
1155;2.14;
1158;2.5;
1170;2.39;
1182;2.27;
1185;2.47;
1191;2.35;
1202;2.35;
1206;2.57;
1212;2.13;
1215;2.17;
1218;2.14;
1239;2.17;2.16
1245;2.1;
1258;2.81;
1260;2.35;2.32
1266;2.4;
1269;2.24;
1281;1.99;
1293;2.36;
1305;2.27;
1323;2.41;
1335;2.26;
1341;1.79;
1356;1.78;1.8
1359;2.08;
1365;2.12;
1377;2.18;
1386;2.11;2.15
1395;2.13;2.12
1407;1.88;
1410;1.95;
1416;2.07;2.06
1428;2.36;2.37
1434;2.29;
1437;2.29;
1464;2.15;
1467;2.32;
1476;1.98;
1482;2.25;2.28
1497;2.16;
1503;2.31;2.28
1515;1.9;
1521;1.84;
1527;2.41;
1539;2.03;
1542;2.08;
1545;1.8;
1569;1.66;1.64
1572;2.17;2.2
993;2.31;
